_id,",brand
142331008,Acer,"Acer Extensa EX2540-37WM
142331009,Acer,"Ноутбук Acer Extensa EX2540-3075
143358200,HP,"Ноутбук HP 15-bw581ur
143358201,HP,"HP 17-bs013ur
143358202,HP,"HP 17-bs017ur
143358210,HP,"HP Pavilion 14-bf105ur
143358183,HP,"HP 14-bp012ur
143358191,HP,"Ноутбук HP 15-bs022ur
143358199,HP,"Ноутбук HP 15-bw580ur
143358205,HP,"HP 250 G6
143358214,HP,"Ноутбук HP Pavilion 15-cc102ur
143358215,HP,"Ноутбук HP Pavilion 15-cc104ur
143358216,HP,"HP Pavilion 15-cc105ur
143358217,HP,"HP Pavilion 15-cd009ur
142876576,Lenovo,"Lenovo V110
143251288,ASUS,"ASUS Transformer Mini T102HA
142725035,MSI,"Игровой ноутбук MSI Raider
142725036,MSI,"Игровой ноутбук MSI Raider
142725038,MSI,"Ноутбук MSI Leopard Pro
142725039,MSI,"Игровой ноутбук MSI 
142725032,MSI,"Игровой ноутбук MSI Raider
143251291,ASUS,"ASUS Transformer Mini T102HA
142760967,Acer,"Ноутбук Acer Swift 3
142760971,Acer,"Acer Swift 3 SF315-51G-50SE
143818840,MSI,"Игровой ноутбук MSI World of Tanks Edition
142760968,Acer,"Acer Swift 3 SF315-51-5503
143818825,ASUS,ASUS VivoBook Max X541UV (X541UV-DM1414T)
143818838,MSI,"MSI GE73VR 7RF-251RU Raider 4K
143818841,MSI,"Игровой ноутбук MSI World of Tanks Edition
143818842,MSI,"Игровой ноутбук MSI World of Tanks Edition
143818847,Acer,"Ноутбук Acer Extensa EX2540
143818868,ASUS,"Ноутбук ASUS VivoBook Max X541NA
143867690,ASUS,"Ноутбук ASUS Transformer Book T101HA
143252427,MSI,"MSI GS73VR 7RG-083RU Stealth Pro 4K
143252428,ASUS,"Ноутбук ASUS VivoBook S15 S510UN
143986598,ASUS,Ноутбук ASUS VivoBook X540YA (X540YA-XO534T)
143380496,Dell,"Ноутбук Dell XPS 13
143380488,Dell,"Dell Alienware A13
143380497,Dell,"Dell Inspiron 5567
143380499,Dell,"Ноутбук Dell Inspiron 5567
143380495,ASUS,"Ноутбук ASUS ZenBook UX310UQ
143380507,Dell,"Ноутбук Dell Vostro 5568
143380487,Dell,"Ноутбук Dell Inspiron 3567
143380504,Dell,"Ноутбук Dell Inspiron 5767
143380505,Dell,"Ноутбук Dell Inspiron 5767
143282384,ASUS,"Ноутбук ASUS VivoBook S15 S510UN
143818827,ASUS,ASUS X751NA (X751NA-TY027)
143818835,Dell,"Ноутбук Dell XPS 13
143818836,MSI,"Игровой ноутбук MSI GE63VR 7RF-206XRU Raider
143818837,MSI,"Игровой ноутбук MSI Raider
142876580,ASUS,"ASUS VivoBook Max X541UA
143358186,HP,"HP 14-bs014ur
143358187,HP,"HP 15-bs013ur
143358218,HP,"HP Pavilion 15-cd017ur
142876585,Lenovo,"Ноутбук Lenovo Yoga 720-15IKB
143818850,Acer,"Ноутбук Acer Aspire Nitro VN7-593G-58N7
143818857,Acer,"Ноутбук Acer Spin 5 SP513-52N
143818858,Acer,"Ноутбук Acer Spin 5 SP515-51GN
143818829,Dell,"Dell Inspiron 3567-0290
143818848,Acer,"Ноутбук Acer Extensa EX2540
143818849,Acer,"Ноутбук Acer TravelMate
143867689,ASUS,"Ноутбук ASUS Transformer Book T101HA
140430211,Acer,"Acer Swift 3 (SF314-51-75N0)
139604206,Dell,"Dell Inspiron 5567-3546
140430189,Acer,"Acer Extensa EX2520G-31C8
139604204,Dell,"Ноутбук Dell Inspiron
139604211,ASUS,"Ноутбук ASUS VivoBook Pro N552VX
139604212,ASUS,ASUS ZenBook UX310UQ (UX310UQ-FC203T)
141714499,Dell,Dell Inspiron 7567-2056
141599883,Apple,"Ноутбук Apple MacBook 12""
